Speak more slowly,धीरे धीरे बोलिये,dhīrē dhīrē boliyē,Basics
Come again?,फिरसे?,phirsē?,Basics
"What does ""..."" mean?","""..."" का मतलब क्या है?","""..."" kā artha/matlab kyā hai?",Basics
"How do you say ""...""?","""..."" कैसे कहते हैं?","""..."" kaisē kahatē haĩ?",Basics
Where are you from?,आप कहाँ से हैं?,āp kahā̃ sē haĩ?,Basics
I'm from ...,मैं ... से हूँ,maĩ ... sē hū̃,Basics
Please,कृपया,kṛpyā,Basics
Thank you,धन्यवाद / शुक्रिया,dhanyavād/śukriyā (Hindustani/Urdu),Basics
Thank you,थैंक्यू,thaiṅkyū,Basics
Thank you very much,बहुत बहुत (धन्यवाद / शुक्रिया),bahut bahut (dhanyavād/śukriyā),Basics
You're welcome,आपका स्वागत है,āpkā svāgat hai,Basics
You're welcome (lit. don't mention it),कोई बात नहीं,koī bāt nahī̃,Basics
Excuse me (getting s.o.'s attention),सुनिये,suniyē,Basics
Pardon me,क्षमा कीजिये,kṣamā kījiyē,Basics
Pardon me/I'm sorry,माफ़ कीजिये,māf kījiyē,Basics
Where is the toilet?,टॉयलेट कहाँ है?,ṭā̆yalēṭ kahā̃ hai?,Basics
Where is the toilet?,शौचालय कहाँ है?,śaucālay kahā̃ hai?,Basics
Good! -  really? -  nice -  etc.,अच्छा,acchā,Basics
Just one minute,एक मिनट,ēk minaṭ,Basics
What time is it?,कितने बजे हैं?,Kitne baje hain?,Basics
Mr.,मिस्टर,misṭar,Forms of Address
Mrs.,मिसेज़,misez,Forms of Address
Mr.,श्री,śrī,Forms of Address
Mrs.,श्रीमती,śrīmatī,Forms of Address
Mr. (Sikh -  ਸਰਦਾਰ),सरदार,sardār,Forms of Address
Mrs. (Sikh -  ਸਰਦਾਰਨੀ),सरदारनी,sardārnī,Forms of Address
Sir,महोदय,mahodaya,Forms of Address
Dr.,डॉक्टर,ḍākṭar,Forms of Address
how/of what kind?,कैसा?,kaisa,Interrogatives
how much/many?,कितना/कितने?,kitna/kitne,Interrogatives
what?,क्या?,kyā?,Interrogatives
when?,कब?,kab?,Interrogatives
where?,कहाँ?,kahān?,Interrogatives
who?,कौन?,kaun?,Interrogatives
which?,कौनसा?,kaunsa?,Interrogatives
why?,क्यों?,kyon?,Interrogatives
minute,मिनट,minaṭ,Time
hour,घंटा,ghanṭa,Time
day,दिन,din,Time
week,हफ़्ता,hafta,Time
month,महीना,mahīna,Time
year,साल,sāl,Time
now,अब -  अभी,ab -  abhī,Time
later,बाद में -  फिर,bād men -  phir,Time
before,पहले,pehle,Time
morning,सुबह -  सवेरा,subeh -  savera(early morn.),Time
afternoon,दोपहर,dopehar  sa pehar,Time
evening,शाम,shām,Time
night,रात,rāt,Time
Sunday,इतवार/रवि‍वार,itvār -  ravivār (Sun),Days of Week
Monday,सोमवार,somvār (Moon),Days of Week
Tuesday,मंगलवार/मंगल,mangalvār (Mars),Days of Week
Wednesday,बुधवार/बुध,budhvār (Mercury),Days of Week
Thursday,गुरुवार/बृहस्पितवार,guruvār (Jupiter)/brihaspativār,Days of Week
Friday,शुक्रवार,śukravār (Venus),Days of Week
Saturday,शनि‍वार,śanivār (Saturn),Days of Week
color,रंग,rang,colors
colorful,रंगबिरंगी,bahut bahAna -  rangabirangī,colors
colorless,बेरंग,berang,colors
black,काला,kālā,colors
white,सफ़ेद,safed/shwet,colors
red,लाल,lāl,colors
pink -  rosy,गुलाबी,gulābī,colors
orange,नारंगी,nārangī,colors
saffron,केसिरया,kesirayā,colors
yellow,पीला,peela,colors
green,हरा,harā,colors
blue,नीला,neelā,colors
turquoise,फ़िरोज़ी,firozī,colors
purple,बैंगनी -  जाम्नी,bainganī -  jāmnī,colors
brown,भूरा,bhūrā,colors
gray,स्लेटी,sleṭī,colors
golden,सुनहरा,sunaharā,colors
silver,चांदी,chāndhī (also the metal),colors
shiny,चमकीला,chamkeelā,colors
deep -  dark,गहरा,gaharā,colors
pale -  light,हल्का,halkā,colors
